"subcode","time","timeelap","phase","trialNr","trialBlock","isTarget","condition","cue","probe","answer","correct","rt"
"V7AEZ9LEEJX0M129","14:51:36","27304","practice","1","1","false","AY","A","C","j","true","1098.5"
"V7AEZ9LEEJX0M129","14:51:45","35916","practice","2","2","true","AX","A","X","f","true","1090.1"
"V7AEZ9LEEJX0M129","14:51:53","44081","practice","3","3","true","AX","A","X","f","true","626.6"
"V7AEZ9LEEJX0M129","14:52:01","51977","practice","4","4","false","BX","V","X","j","true","374.7"
"V7AEZ9LEEJX0M129","14:52:09","60355","practice","5","5","true","AX","A","X","f","true","854.2"
"V7AEZ9LEEJX0M129","14:52:17","68372","practice","6","6","true","AX","A","X","f","true","496.3"
"V7AEZ9LEEJX0M129","14:52:25","76365","practice","7","7","false","BY","C","N","j","true","470.1"
"V7AEZ9LEEJX0M129","14:52:34","84679","practice","8","8","true","AX","A","X","f","true","792.2"
"V7AEZ9LEEJX0M129","14:52:42","92705","practice","9","9","true","AX","A","X","f","true","513.8"
"V7AEZ9LEEJX0M129","14:52:50","100996","practice","10","10","true","AX","A","X","f","true","773.3"
"V7AEZ9LEEJX0M129","14:53:04","115016","experiment","11","1","true","AX","A","X","f","true","680.5"
"V7AEZ9LEEJX0M129","14:53:11","122065","experiment","12","2","false","AY","A","S","j","true","529.2"
"V7AEZ9LEEJX0M129","14:53:18","128972","experiment","13","3","false","BX","V","X","j","true","388.3"
"V7AEZ9LEEJX0M129","14:53:25","136128","experiment","14","4","true","AX","A","X","f","true","638.4"
"V7AEZ9LEEJX0M129","14:53:32","143248","experiment","15","5","true","AX","A","X","f","true","601.6"
"V7AEZ9LEEJX0M129","14:53:39","150197","experiment","16","6","true","AX","A","X","f","true","430.7"
"V7AEZ9LEEJX0M129","14:53:46","157302","experiment","17","7","true","AX","A","X","f","true","586.7"
"V7AEZ9LEEJX0M129","14:53:53","164397","experiment","18","8","true","AX","A","X","f","true","585.3"
"V7AEZ9LEEJX0M129","14:54:00","171316","experiment","19","9","true","AX","A","X","f","true","405.5"
"V7AEZ9LEEJX0M129","14:54:07","178281","experiment","20","10","false","BY","O","O","j","true","450.4"
"V7AEZ9LEEJX0M129","14:54:17","188252","experiment","21","11","false","BY","C","W","j","true","1233.3"
"V7AEZ9LEEJX0M129","14:54:25","195922","experiment","22","12","false","BX","W","X","f","false","1155.1"
"V7AEZ9LEEJX0M129","14:54:32","203375","experiment","23","13","true","AX","A","X","f","true","931.7"
"V7AEZ9LEEJX0M129","14:54:40","211336","experiment","24","14","false","AY","A","E","j","true","1444.4"
